"","age","job","marital","education","credit_in_default","housing_loan","personal_loan","last_contact_type","last_contact_month","last_contact_day","last_contact_duration","n_contacts_this_campaign","days_since_last_contact","n_contacts_prev_campaign","prev_campaign_outcome","registered","married_or_not","education_category"
"3347",60,"admin. - Oliveira do Hospital","married","university.degree","no","yes","no","cellular","mar","fri",558,1,999,0,"nonexistent","no","married","university"
"3348",33,"admin. - Caniço","single","professional.course","no","yes","no","cellular","jul","wed",NA,2,999,0,"nonexistent","no","not married","unknown"
"3349",44,"blue-collar - Tavira","married","basic.9y","no","yes","no","cellular","nov","tue",52,1,999,0,"nonexistent","no","married","high school or less"
"3350",34,"management - Torres Novas","married","university.degree","no","no","no","cellular","may","wed",323,3,999,1,"failure","no","married","university"
"3351",59,"retired - Tavira","married","unknown","no","no","no","cellular","aug","fri",109,2,999,0,"nonexistent","no","married","unknown"
"3352",26,"entrepreneur - Queluz","married","unknown","no","no","no","telephone","may","fri",194,3,999,0,"nonexistent","no","married","unknown"
"3353",31,"entrepreneur - Mirandela","divorced","basic.4y","no","no","no","cellular","nov","tue",NA,2,999,0,"nonexistent","no","not married","high school or less"
"3354",36,"blue-collar - Lagoa","married","basic.4y","unknown","yes","yes","cellular","jul","tue",353,1,999,0,"nonexistent","no","married","high school or less"
"3355",31,"blue-collar - Viseu","married","basic.6y","no","no","no","telephone","may","wed",174,1,999,0,"nonexistent","no","married","high school or less"
"3356",29,"self-employed - Oliveira do Bairro","single","high.school","no","yes","yes","cellular","nov","thu",337,3,999,0,"nonexistent","no","not married","high school or less"
"3357",39,"blue-collar - Évora","single","basic.9y","no","yes","no","cellular","nov","mon",78,2,999,0,"nonexistent","no","not married","high school or less"
"3358",39,"admin. - Santo Tirso","married","professional.course","no","no","no","cellular","aug","fri",NA,3,999,0,"nonexistent","no","married","unknown"
"3359",36,"blue-collar - Queluz","married","professional.course","unknown","yes","no","telephone","jun","fri",NA,5,999,0,"nonexistent","no","married","unknown"
"3360",41,"blue-collar - Torres Vedras","married","basic.4y","unknown","yes","no","telephone","jul","tue",471,3,999,0,"nonexistent","no","married","high school or less"
"3361",25,"admin. - Gondomar","single","university.degree","no","yes","no","telephone","aug","thu",84,1,999,0,"nonexistent","no","not married","university"
"3362",35,"services - Serpa","single","high.school","unknown","yes","no","telephone","may","thu",334,3,999,0,"nonexistent","no","not married","high school or less"
"3363",50,"blue-collar - Rio Tinto","divorced","professional.course","no","yes","no","cellular","nov","tue",137,2,9,3,"success","no","not married","unknown"
"3364",36,"housemaid - Valpaços","single","basic.4y","unknown","no","no","cellular","jul","fri",184,3,999,0,"nonexistent","no","not married","high school or less"
"3365",55,"technician - Lourosa","married","high.school","no","no","yes","cellular","aug","thu",71,2,999,0,"nonexistent","no","married","high school or less"
"3366",56,"admin. - Fátima","","university.degree","unknown","yes","yes","cellular","aug","wed",287,1,999,0,"nonexistent","no","not married","university"
"3367",35,"blue-collar - Marco de Canaveses","married","unknown","no","yes","no","telephone","may","tue",NA,3,999,0,"nonexistent","no","married","unknown"
"3368",47,"admin. - Póvoa de Santa Iria","married","high.school","unknown","no","yes","telephone","jun","fri",383,1,999,0,"nonexistent","no","married","high school or less"
"3369",25,"services - Ovar","single","basic.9y","no","no","no","telephone","jun","thu",180,1,999,0,"nonexistent","no","not married","high school or less"
"3370",31,"technician - Vendas Novas","single","professional.course","no","yes","no","cellular","aug","thu",151,3,999,0,"nonexistent","no","not married","unknown"
"3371",32,"","single","basic.9y","no","no","no","telephone","may","tue",122,7,999,0,"nonexistent","no","not married","high school or less"
"3372",58,"technician - Póvoa de Varzim","married","professional.course","unknown","no","no","telephone","may","wed",113,2,999,0,"nonexistent","no","married","unknown"
"3373",37,"technician - Rio Tinto","married","university.degree","no","no","no","cellular","may","tue",219,2,999,0,"nonexistent","no","married","university"
"3374",39,"unemployed - Fátima","married","university.degree","no","yes","no","telephone","jun","mon",108,4,999,0,"nonexistent","no","married","university"
"3375",28,"admin. - Câmara de Lobos","married","","unknown","no","no","cellular","jul","tue",60,3,999,0,"nonexistent","no","married","unknown"
"3376",40,"management - Peso da Régua","married","high.school","no","yes","no","cellular","nov","fri",7,4,999,0,"nonexistent","no","married","high school or less"
"3377",47,"services - Gondomar","single","high.school","no","no","no","cellular","jul","tue",NA,1,999,0,"nonexistent","no","not married","high school or less"
"3378",55,"blue-collar - Vendas Novas","married","basic.4y","no","yes","yes","cellular","aug","thu",21,4,999,0,"nonexistent","no","married","high school or less"
"3379",34,"admin. - Mealhada","married","university.degree","no","yes","no","telephone","may","mon",138,1,999,0,"nonexistent","no","married","university"
"3380",26,"blue-collar - Tondela","single","basic.4y","no","no","no","cellular","jul","wed",53,17,999,0,"nonexistent","no","not married","high school or less"
"3381",48,"technician - Esmoriz","married","professional.course","no","no","yes","cellular","jul","wed",266,5,999,0,"nonexistent","no","married","unknown"
"3382",48,"unemployed - Santana","married","basic.4y","no","yes","no","telephone","may","tue",265,2,999,0,"nonexistent","no","married","high school or less"
"3383",54,"technician - Lagoa","","professional.course","no","yes","yes","cellular","jul","tue",797,14,999,0,"nonexistent","no","not married","unknown"
"3384",31,"admin. - Câmara de Lobos","single","university.degree","no","yes","no","cellular","aug","thu",98,8,999,0,"nonexistent","no","not married","university"
"3385",32,"","married","university.degree","no","no","no","cellular","aug","tue",224,1,999,0,"nonexistent","no","married","university"
"3386",31,"technician - Braga","married","professional.course","no","yes","no","cellular","aug","thu",125,1,999,0,"nonexistent","no","married","unknown"
"3387",48,"services - Covilhã","","high.school","no","yes","no","cellular","jul","mon",72,2,999,0,"nonexistent","no","not married","high school or less"
"3388",NA,"","married","university.degree","no","no","no","telephone","jun","fri",212,1,999,0,"nonexistent","no","married","university"
"3389",46,"services - Barreiro","married","high.school","no","no","no","cellular","apr","mon",124,4,999,0,"nonexistent","no","married","high school or less"
"3390",33,"blue-collar - Tomar","single","professional.course","no","no","yes","telephone","jul","fri",15,1,999,0,"nonexistent","no","not married","unknown"
"3391",31,"technician - Seixal","single","professional.course","no","yes","no","cellular","aug","fri",119,5,999,0,"nonexistent","no","not married","unknown"
"3392",36,"admin. - Valongo","married","professional.course","no","yes","no","cellular","aug","fri",NA,1,999,0,"nonexistent","no","married","unknown"
"3393",38,"admin. - Peso da Régua","married","","no","yes","no","cellular","may","fri",247,4,999,0,"nonexistent","no","married","unknown"
"3394",50,"technician - Vendas Novas","married","university.degree","no","yes","no","cellular","nov","fri",100,2,999,0,"nonexistent","no","married","university"
"3395",33,"admin. - Santana","single","university.degree","no","no","no","cellular","aug","tue",NA,9,999,0,"nonexistent","no","not married","university"
"3396",31,"technician - Rio Tinto","married","university.degree","unknown","no","no","cellular","aug","wed",132,2,999,0,"nonexistent","no","married","university"
"3397",29,"admin. - Agualva-Cacém","single","university.degree","no","no","no","cellular","aug","fri",NA,1,999,0,"nonexistent","no","not married","university"
"3398",31,"blue-collar - Fátima","married","basic.9y","no","yes","no","cellular","may","tue",NA,7,999,0,"nonexistent","no","married","high school or less"
"3399",43,"blue-collar - Agualva-Cacém","married","basic.6y","no","no","yes","cellular","apr","fri",150,1,999,0,"nonexistent","no","married","high school or less"
"3400",45,"technician - Póvoa de Santa Iria","married","university.degree","no","no","no","cellular","aug","mon",111,2,999,1,"failure","no","married","university"
"3401",54,"services - Vila Franca de Xira","divorced","high.school","no","no","no","telephone","jun","mon",113,3,999,0,"nonexistent","no","not married","high school or less"
"3402",54,"management - Vila Baleira (a.k.a. Porto Santo)","divorced","university.degree","no","yes","no","telephone","may","tue",92,4,999,0,"nonexistent","no","not married","university"
"3403",39,"self-employed - Lisbon","married","high.school","no","yes","no","cellular","may","mon",31,6,999,0,"nonexistent","no","married","high school or less"
"3404",18,"student - Vila Nova de Famalicão","single","basic.4y","no","yes","yes","cellular","apr","thu",184,2,999,0,"nonexistent","no","not married","high school or less"
"3405",46,"entrepreneur - Serpa","","professional.course","unknown","no","no","telephone","jun","mon",88,1,999,0,"nonexistent","no","not married","unknown"
"3406",41,"self-employed - Paredes","married","university.degree","no","yes","yes","cellular","aug","mon",93,1,999,0,"nonexistent","no","married","university"
"3407",48,"admin. - Pinhel","single","university.degree","no","no","no","cellular","nov","mon",76,1,999,0,"nonexistent","no","not married","university"
"3408",44,"unemployed - Rebordosa","married","high.school","no","yes","no","telephone","aug","thu",99,1,999,0,"nonexistent","no","married","high school or less"
"3409",41,"unemployed - Covilhã","married","unknown","no","no","no","telephone","jun","fri",280,3,999,0,"nonexistent","no","married","unknown"
"3410",28,"services - Portalegre","","high.school","no","no","no","telephone","jun","wed",124,1,999,0,"nonexistent","no","not married","high school or less"
"3411",33,"admin. - Lisbon","single","","no","yes","no","cellular","jul","thu",NA,2,999,0,"nonexistent","no","not married","unknown"
"3412",48,"","married","high.school","no","no","no","telephone","may","mon",357,1,999,0,"nonexistent","no","married","high school or less"
"3413",NA,"blue-collar - Peso da Régua","married","basic.6y","no","no","no","telephone","may","mon",228,1,999,0,"nonexistent","no","married","high school or less"
"3414",42,"self-employed - Vila Baleira (a.k.a. Porto Santo)","married","university.degree","no","yes","no","cellular","nov","fri",888,3,999,0,"nonexistent","no","married","university"
"3415",42,"technician - Vila Franca de Xira","married","professional.course","no","yes","yes","cellular","may","thu",NA,2,999,0,"nonexistent","no","married","unknown"
"3416",71,"retired - Rio Tinto","married","high.school","no","yes","no","cellular","apr","wed",162,2,999,0,"nonexistent","no","married","high school or less"
"3417",42,"services - Freamunde","divorced","high.school","no","yes","yes","cellular","jul","thu",NA,1,999,0,"nonexistent","no","not married","high school or less"
"3418",55,"retired - Macedo de Cavaleiros","married","basic.9y","unknown","yes","no","cellular","jul","thu",55,8,999,0,"nonexistent","no","married","high school or less"
"3419",36,"services - Leiria","single","","no","no","no","telephone","may","mon",291,1,999,0,"nonexistent","no","not married","unknown"
"3420",34,"admin. - São Salvador de Lordelo","married","high.school","no","no","no","cellular","jun","mon",NA,1,999,0,"nonexistent","no","married","high school or less"
"3421",34,"management - Valpaços","married","basic.9y","no","no","yes","cellular","may","mon",131,2,999,0,"nonexistent","no","married","high school or less"
"3422",39,"admin. - Covilhã","married","high.school","no","yes","yes","telephone","may","fri",202,2,999,0,"nonexistent","no","married","high school or less"
"3423",45,"blue-collar - Alfena","","basic.9y","no","yes","no","telephone","may","wed",NA,1,999,0,"nonexistent","no","not married","high school or less"
"3424",45,"unemployed - Lagoa","divorced","high.school","no","no","no","cellular","may","wed",NA,1,999,0,"nonexistent","no","not married","high school or less"
"3425",38,"technician - Seixal","single","university.degree","no","yes","no","telephone","jun","mon",104,2,999,0,"nonexistent","no","not married","university"
"3426",37,"admin. - Valpaços","married","","no","no","no","telephone","may","mon",193,2,999,0,"nonexistent","no","married","unknown"
"3427",27,"admin. - Vila Nova de Foz Côa","single","high.school","no","yes","no","telephone","may","tue",NA,2,999,0,"nonexistent","no","not married","high school or less"
"3428",46,"student - Torres Vedras","single","unknown","no","yes","no","cellular","jul","fri",587,5,999,0,"nonexistent","no","not married","unknown"
"3429",39,"admin. - Vila Nova de Famalicão","married","","no","yes","no","telephone","nov","thu",NA,4,999,0,"nonexistent","no","married","unknown"
"3430",32,"technician - Loulé","married","professional.course","no","yes","yes","cellular","aug","mon",69,2,999,0,"nonexistent","no","married","unknown"
"3431",41,"technician - Tondela","single","professional.course","no","unknown","unknown","telephone","may","fri",136,2,999,0,"nonexistent","no","not married","unknown"
"3432",37,"entrepreneur - Vila Franca de Xira","married","university.degree","no","yes","no","cellular","jun","tue",108,1,999,0,"nonexistent","no","married","university"
"3433",47,"","married","basic.9y","no","no","no","telephone","may","tue",227,1,999,0,"nonexistent","no","married","high school or less"
"3434",NA,"admin. - Covilhã","married","university.degree","no","no","yes","cellular","jul","wed",112,8,999,0,"nonexistent","no","married","university"
"3435",37,"housemaid - Vila Nova de Santo André","married","university.degree","unknown","no","no","telephone","may","wed",567,3,999,0,"nonexistent","no","married","university"
"3436",25,"admin. - Funchal","single","high.school","no","no","no","cellular","jul","mon",NA,2,999,0,"nonexistent","no","not married","high school or less"
"3437",31,"technician - Serpa","divorced","basic.9y","no","no","no","telephone","may","tue",244,1,999,0,"nonexistent","no","not married","high school or less"
"3438",51,"blue-collar - Agualva-Cacém","married","basic.4y","no","no","yes","telephone","jul","wed",25,6,999,0,"nonexistent","no","married","high school or less"
"3439",30,"technician - Loures","single","professional.course","no","no","no","cellular","sep","tue",NA,1,999,5,"failure","no","not married","unknown"
"3440",46,"blue-collar - Albufeira","married","basic.9y","no","yes","no","cellular","aug","wed",NA,1,999,0,"nonexistent","no","married","high school or less"
"3441",57,"entrepreneur - Miranda do Douro","married","unknown","unknown","no","no","cellular","jul","thu",384,4,999,0,"nonexistent","no","married","unknown"
"3442",42,"technician - Trofa","married","professional.course","unknown","no","no","cellular","aug","wed",71,2,999,0,"nonexistent","no","married","unknown"
"3443",NA,"services - Espinho","single","basic.9y","no","no","yes","cellular","jul","thu",169,1,999,0,"nonexistent","no","not married","high school or less"
"3444",30,"","married","basic.6y","no","yes","no","cellular","may","thu",83,1,999,0,"nonexistent","no","married","high school or less"
"3445",30,"housemaid - Fátima","married","high.school","unknown","no","no","telephone","may","thu",159,1,999,0,"nonexistent","no","married","high school or less"
"3446",50,"blue-collar - Gafanha da Nazaré","married","basic.4y","unknown","yes","yes","cellular","jul","mon",NA,4,999,0,"nonexistent","no","married","high school or less"
"3447",27,"admin. - Valpaços","single","high.school","no","no","no","cellular","jul","tue",297,1,999,0,"nonexistent","no","not married","high school or less"
"3448",NA,"blue-collar - Gondomar","married","high.school","no","yes","no","telephone","jun","wed",NA,12,999,0,"nonexistent","no","married","high school or less"
"3449",33,"admin. - Silves","single","high.school","no","no","yes","telephone","jun","wed",113,1,999,0,"nonexistent","no","not married","high school or less"
"3450",47,"","single","university.degree","unknown","yes","yes","telephone","may","thu",NA,1,999,0,"nonexistent","no","not married","university"
"3451",54,"blue-collar - Fafe","married","basic.9y","no","yes","no","telephone","may","wed",505,2,999,0,"nonexistent","no","married","high school or less"
"3452",36,"blue-collar - Silves","married","unknown","no","yes","yes","telephone","jun","wed",130,6,999,0,"nonexistent","no","married","unknown"
"3453",50,"unemployed - Oliveira do Bairro","married","high.school","no","no","no","cellular","nov","tue",79,1,999,1,"failure","no","married","high school or less"
"3454",34,"management - Odivelas","married","university.degree","no","no","no","cellular","aug","thu",NA,1,999,0,"nonexistent","no","married","university"
"3455",46,"services - Fafe","married","high.school","no","no","no","telephone","apr","mon",60,1,999,0,"nonexistent","no","married","high school or less"
"3456",28,"technician - Guimarães","single","university.degree","no","no","no","cellular","jul","tue",NA,3,6,2,"success","no","not married","university"
"3457",33,"admin. - Valpaços","single","university.degree","no","yes","yes","cellular","nov","thu",90,4,999,1,"failure","no","not married","university"
"3458",29,"blue-collar - Fátima","single","basic.9y","no","no","no","cellular","jul","thu",190,1,999,0,"nonexistent","no","not married","high school or less"
"3459",53,"technician - Águeda","married","unknown","no","yes","no","telephone","may","mon",65,3,999,0,"nonexistent","no","married","unknown"
"3460",28,"blue-collar - Viseu","married","basic.9y","unknown","yes","no","cellular","may","thu",334,1,999,0,"nonexistent","no","married","high school or less"
"3461",NA,"management - Mirandela","married","university.degree","no","no","no","telephone","may","fri",159,3,999,0,"nonexistent","no","married","university"
"3462",38,"entrepreneur - Lagoa","married","basic.9y","no","no","no","telephone","may","fri",522,5,999,0,"nonexistent","no","married","high school or less"
"3463",36,"","married","university.degree","no","no","no","cellular","may","fri",NA,1,999,0,"nonexistent","no","married","university"
"3464",44,"technician - Aveiro","","high.school","no","no","no","cellular","may","mon",174,5,999,1,"failure","no","not married","high school or less"
"3465",42,"self-employed - Maia","married","university.degree","no","no","no","telephone","jun","mon",180,3,999,0,"nonexistent","no","married","university"
"3466",58,"admin. - Vila Nova de Famalicão","married","university.degree","unknown","no","no","cellular","nov","fri",110,2,999,1,"failure","no","married","university"
"3467",27,"blue-collar - Covilhã","married","basic.4y","unknown","no","no","telephone","may","thu",340,7,999,0,"nonexistent","no","married","high school or less"
"3468",NA,"blue-collar - Torres Vedras","married","high.school","unknown","yes","no","telephone","may","fri",203,2,999,0,"nonexistent","no","married","high school or less"
"3469",38,"services - Agualva-Cacém","","high.school","unknown","yes","no","cellular","apr","tue",NA,2,999,1,"failure","no","not married","high school or less"
"3470",39,"self-employed - Guimarães","single","university.degree","no","no","no","cellular","may","tue",180,2,999,0,"nonexistent","no","not married","university"
"3471",29,"admin. - Rebordosa","single","university.degree","no","yes","no","cellular","aug","fri",NA,2,999,0,"nonexistent","no","not married","university"
"3472",58,"","married","high.school","unknown","yes","no","cellular","may","tue",159,1,999,1,"failure","no","married","high school or less"
"3473",31,"entrepreneur - Mealhada","married","university.degree","no","no","no","cellular","aug","fri",188,1,999,0,"nonexistent","no","married","university"
"3474",27,"blue-collar - Olhão da Restauração","single","high.school","no","no","no","cellular","may","fri",80,4,999,0,"nonexistent","no","not married","high school or less"
"3475",42,"admin. - Vila Franca de Xira","married","high.school","no","no","no","cellular","apr","fri",697,2,999,0,"nonexistent","no","married","high school or less"
"3476",37,"blue-collar - Costa da Caparica","single","unknown","unknown","no","no","telephone","may","fri",NA,1,999,0,"nonexistent","no","not married","unknown"
"3477",52,"services - Almeirim","married","basic.9y","unknown","yes","yes","cellular","aug","thu",110,5,999,0,"nonexistent","no","married","high school or less"
"3478",26,"technician - Costa da Caparica","single","professional.course","no","no","no","cellular","jun","mon",175,1,999,1,"failure","no","not married","unknown"
"3479",40,"admin. - Vila Nova de Santo André","married","university.degree","no","yes","yes","cellular","aug","tue",NA,1,999,0,"nonexistent","no","married","university"
"3480",34,"technician - Maia","married","professional.course","no","yes","no","cellular","jul","wed",58,1,999,0,"nonexistent","no","married","unknown"
"3481",45,"blue-collar - Esmoriz","married","basic.4y","no","yes","no","telephone","may","wed",204,1,999,0,"nonexistent","no","married","high school or less"
"3482",42,"entrepreneur - Vila Real de Santo António","married","university.degree","unknown","no","no","cellular","apr","fri",46,4,999,0,"nonexistent","no","married","university"
"3483",29,"admin. - Covilhã","married","university.degree","no","yes","yes","cellular","jul","thu",166,1,999,0,"nonexistent","no","married","university"
"3484",50,"blue-collar - Maia","married","basic.4y","no","yes","no","telephone","may","fri",213,4,999,0,"nonexistent","no","married","high school or less"
"3485",29,"admin. - Barreiro","married","","no","yes","no","cellular","apr","fri",NA,1,999,0,"nonexistent","no","married","unknown"
"3486",53,"retired - Covilhã","married","professional.course","no","no","no","cellular","jul","fri",124,2,999,0,"nonexistent","no","married","unknown"
"3487",29,"admin. - Tomar","single","high.school","no","yes","no","telephone","jun","wed",184,2,999,0,"nonexistent","no","not married","high school or less"
"3488",33,"blue-collar - Praia da Vitória","married","basic.4y","no","yes","no","telephone","may","fri",NA,2,999,0,"nonexistent","no","married","high school or less"
"3489",32,"blue-collar - Esposende","married","basic.6y","no","no","no","cellular","nov","thu",NA,4,999,0,"nonexistent","no","married","high school or less"
"3490",43,"unknown - Agualva-Cacém","married","university.degree","no","no","no","telephone","may","wed",NA,2,999,0,"nonexistent","no","married","university"
"3491",28,"student - Santa Comba Dão","single","high.school","no","unknown","unknown","cellular","may","thu",97,2,999,0,"nonexistent","no","not married","high school or less"
"3492",31,"technician - Oliveira do Bairro","married","university.degree","no","no","no","cellular","aug","fri",379,2,999,0,"nonexistent","no","married","university"
"3493",37,"admin. - Tavira","married","high.school","no","yes","yes","cellular","nov","mon",272,1,999,0,"nonexistent","no","married","high school or less"
"3494",31,"admin. - Seixal","divorced","high.school","no","no","no","telephone","may","fri",NA,4,999,0,"nonexistent","no","not married","high school or less"
"3495",41,"","married","basic.4y","no","no","no","telephone","may","fri",512,2,999,0,"nonexistent","no","married","high school or less"
"3496",32,"technician - Amora","single","university.degree","no","yes","no","cellular","nov","fri",327,1,999,1,"failure","no","not married","university"
"3497",27,"admin. - Torres Novas","single","university.degree","no","yes","yes","cellular","may","mon",179,1,999,0,"nonexistent","no","not married","university"
"3498",41,"management - Ermesinde","married","university.degree","no","yes","no","cellular","apr","fri",212,1,999,0,"nonexistent","no","married","university"
"3499",NA,"blue-collar - Mirandela","married","basic.9y","no","yes","yes","telephone","may","fri",128,3,999,0,"nonexistent","no","married","high school or less"
"3500",24,"technician - Vila Real","","","no","yes","no","telephone","mar","thu",165,3,999,0,"nonexistent","no","not married","unknown"
"3501",40,"blue-collar - Câmara de Lobos","single","basic.6y","unknown","yes","no","cellular","apr","fri",155,3,999,1,"failure","no","not married","high school or less"
"3502",50,"blue-collar - Seixal","married","basic.4y","unknown","no","no","telephone","jun","tue",209,3,999,0,"nonexistent","no","married","high school or less"
"3503",30,"admin. - Lagoa","","university.degree","no","no","no","cellular","jul","fri",84,2,999,0,"nonexistent","no","not married","university"
"3504",29,"technician - Vila Nova de Santo André","married","high.school","unknown","no","no","cellular","jul","thu",321,1,999,0,"nonexistent","no","married","high school or less"
"3505",48,"admin. - Valpaços","married","high.school","no","yes","no","cellular","aug","thu",62,1,999,0,"nonexistent","no","married","high school or less"
"3506",36,"blue-collar - Vendas Novas","divorced","basic.6y","no","yes","no","cellular","may","wed",197,1,999,1,"failure","no","not married","high school or less"
"3507",45,"services - Mirandela","married","basic.6y","no","yes","yes","cellular","aug","mon",157,3,999,0,"nonexistent","no","married","high school or less"
"3508",39,"technician - Câmara de Lobos","married","unknown","no","no","no","telephone","jun","fri",237,3,999,0,"nonexistent","no","married","unknown"
"3509",30,"student - Lagoa","unknown","basic.9y","no","no","no","cellular","may","thu",155,1,999,2,"failure","no","not married","high school or less"
"3510",NA,"admin. - Seixal","single","basic.4y","unknown","yes","no","telephone","may","wed",398,1,999,0,"nonexistent","no","not married","high school or less"
"3511",36,"blue-collar - Santa Comba Dão","married","high.school","no","yes","no","cellular","jul","wed",NA,11,999,0,"nonexistent","no","married","high school or less"
"3512",33,"technician - Miranda do Douro","divorced","high.school","no","no","no","telephone","may","tue",207,1,999,0,"nonexistent","no","not married","high school or less"
"3513",29,"blue-collar - Rio Tinto","married","basic.6y","no","no","no","telephone","may","thu",160,1,999,0,"nonexistent","no","married","high school or less"
"3514",48,"blue-collar - Montijo","married","basic.4y","unknown","no","no","cellular","jul","fri",276,1,999,0,"nonexistent","no","married","high school or less"
"3515",26,"services - Santa Comba Dão","single","high.school","no","no","no","cellular","may","wed",119,2,999,0,"nonexistent","no","not married","high school or less"
"3516",25,"admin. - Câmara de Lobos","single","university.degree","no","no","no","cellular","may","tue",NA,1,999,1,"failure","no","not married","university"
"3517",26,"admin. - Esmoriz","single","university.degree","no","no","no","telephone","jul","mon",127,7,999,0,"nonexistent","no","not married","university"
"3518",33,"admin. - Torres Vedras","single","university.degree","unknown","no","no","cellular","apr","mon",73,4,999,0,"nonexistent","no","not married","university"
"3519",56,"retired - Praia da Vitória","married","university.degree","no","yes","yes","cellular","mar","mon",104,2,999,0,"nonexistent","no","married","university"
"3520",44,"management - Rio Tinto","married","high.school","unknown","no","no","cellular","jul","mon",164,1,999,0,"nonexistent","no","married","high school or less"
"3521",48,"admin. - Tondela","divorced","university.degree","unknown","no","no","cellular","aug","tue",58,5,999,0,"nonexistent","no","not married","university"
"3522",37,"admin. - Mealhada","","high.school","no","no","no","cellular","nov","mon",NA,4,999,0,"nonexistent","no","not married","high school or less"
"3523",38,"entrepreneur - Sacavém","married","professional.course","no","yes","no","telephone","nov","wed",519,2,999,0,"nonexistent","no","married","unknown"
"3524",42,"admin. - Almeirim","married","university.degree","unknown","no","no","telephone","may","wed",NA,1,999,0,"nonexistent","no","married","university"
"3525",52,"admin. - Portimão","married","high.school","no","yes","no","cellular","aug","tue",231,4,999,0,"nonexistent","no","married","high school or less"
"3526",33,"admin. - Setúbal","married","university.degree","no","yes","no","cellular","aug","thu",59,1,999,0,"nonexistent","no","married","university"
"3527",39,"blue-collar - Oliveira do Bairro","","basic.6y","unknown","yes","no","cellular","may","wed",NA,1,999,0,"nonexistent","no","not married","high school or less"
"3528",49,"blue-collar - Portimão","married","basic.9y","no","no","no","cellular","may","thu",589,2,999,0,"nonexistent","no","married","high school or less"
"3529",26,"admin. - Ponta Delgada","","university.degree","no","yes","no","cellular","may","tue",104,5,999,0,"nonexistent","no","not married","university"
"3530",NA,"services - Marinha Grande","married","high.school","no","yes","no","cellular","apr","thu",NA,2,999,0,"nonexistent","no","married","high school or less"
"3531",47,"unemployed - Fátima","married","professional.course","unknown","yes","yes","cellular","aug","tue",100,1,999,0,"nonexistent","no","married","unknown"
"3532",38,"blue-collar - São Mamede de Infesta","married","basic.4y","no","yes","no","cellular","may","wed",100,1,999,0,"nonexistent","no","married","high school or less"
"3533",37,"admin. - Gafanha da Nazaré","married","university.degree","no","yes","no","cellular","aug","wed",NA,2,999,0,"nonexistent","no","married","university"
"3534",31,"admin. - Santana","single","high.school","no","yes","no","cellular","nov","wed",NA,1,999,0,"nonexistent","no","not married","high school or less"
"3535",40,"services - Odivelas","married","high.school","no","no","no","telephone","may","mon",322,3,999,0,"nonexistent","no","married","high school or less"
"3536",52,"admin. - Águeda","married","high.school","no","no","no","telephone","jul","tue",NA,1,999,0,"nonexistent","no","married","high school or less"
"3537",50,"blue-collar - Marinha Grande","married","basic.4y","no","yes","no","telephone","may","tue",229,2,999,0,"nonexistent","no","married","high school or less"
"3538",29,"technician - Odivelas","single","university.degree","no","yes","no","cellular","aug","fri",NA,1,999,0,"nonexistent","no","not married","university"
"3539",41,"admin. - Portalegre","married","high.school","unknown","no","no","telephone","jun","mon",118,3,999,0,"nonexistent","no","married","high school or less"
"3540",59,"retired - Valpaços","married","basic.9y","no","yes","no","cellular","aug","mon",NA,4,999,0,"nonexistent","no","married","high school or less"
"3541",50,"blue-collar - Tondela","married","basic.4y","unknown","no","no","telephone","may","tue",100,1,999,0,"nonexistent","no","married","high school or less"
"3542",50,"","married","university.degree","no","yes","no","telephone","jun","fri",306,2,999,0,"nonexistent","no","married","university"
"3543",44,"technician - Santana","divorced","","unknown","no","no","cellular","jul","mon",154,1,999,0,"nonexistent","no","not married","unknown"
"3544",NA,"retired - Rio Tinto","","basic.4y","unknown","yes","no","cellular","may","wed",205,1,999,1,"failure","no","not married","high school or less"
"3545",42,"services - Gafanha da Nazaré","married","high.school","no","yes","no","cellular","may","wed",337,2,999,0,"nonexistent","no","married","high school or less"
"3546",28,"self-employed - Santa Maria da Feira","married","professional.course","no","no","no","telephone","may","mon",185,5,999,0,"nonexistent","no","married","unknown"
"3547",32,"blue-collar - Praia da Vitória","married","high.school","no","no","no","cellular","nov","mon",348,1,999,0,"nonexistent","no","married","high school or less"
"3548",32,"technician - Tondela","single","professional.course","no","yes","yes","cellular","nov","tue",89,1,999,0,"nonexistent","no","not married","unknown"
"3549",60,"admin. - Guarda","married","","no","no","yes","telephone","may","mon",87,2,999,0,"nonexistent","no","married","unknown"
"3550",33,"admin. - Valbom","married","university.degree","no","yes","no","telephone","may","fri",555,1,999,0,"nonexistent","no","married","university"
"3551",41,"blue-collar - Tondela","married","basic.9y","no","no","no","telephone","may","mon",198,1,999,0,"nonexistent","no","married","high school or less"
"3552",35,"management - Entroncamento","single","university.degree","unknown","yes","no","cellular","jul","thu",211,1,999,0,"nonexistent","no","not married","university"
"3553",36,"blue-collar - Águeda","married","professional.course","no","yes","yes","telephone","may","thu",224,1,999,0,"nonexistent","no","married","unknown"
"3554",35,"admin. - Esmoriz","single","university.degree","no","no","no","cellular","aug","thu",250,1,999,1,"failure","no","not married","university"
"3555",27,"admin. - Barcelos","single","university.degree","unknown","no","no","cellular","jul","tue",128,1,999,0,"nonexistent","no","not married","university"
"3556",28,"blue-collar - Agualva-Cacém","single","basic.9y","no","yes","no","cellular","may","wed",149,1,999,0,"nonexistent","no","not married","high school or less"
